Model,Dataset,Seed,Data_Fraction,Accuracy,Macro_F1,Train_Time,Infer_Time,Num_Params
RoBERTa,AG News,456,0.01,0.9030263157894737,0.9027896477400397,119.23020195960999,8.374953985214233,124648708.0
SetFit,AG News,456,0.01,0.883421052631579,0.8834591263670343,120.72060942649841,2.620182752609253,22713216.0
TF-IDF + LogReg,Tweet Irony,42,0.5,0.6301020408163265,0.6237331444496668,7.231065988540649,0.0004055500030517578,
TF-IDF + SVM,Tweet Irony,42,0.5,0.6339285714285714,0.6243800404319644,0.33106446266174316,0.00023412704467773438,
TextCNN,Tweet Irony,42,0.5,0.5586734693877551,0.5516682863621639,1.0686044692993164,0.019206523895263672,999942.0
DistilBERT,Tweet Irony,42,0.5,0.6607142857142857,0.653901048201329,28.734015464782715,0.5086920261383057,66955010.0
RoBERTa,Tweet Irony,42,0.5,0.6772959183673469,0.6770642201834862,54.365533113479614,0.8619015216827393,124647170.0
TF-IDF + LogReg,Tweet Irony,123,0.5,0.5714285714285714,0.5518170681910984,5.143785238265991,0.0003933906555175781,
TF-IDF + SVM,Tweet Irony,123,0.5,0.5816326530612245,0.563921504785549,0.41320323944091797,0.00025534629821777344,
TextCNN,Tweet Irony,123,0.5,0.5854591836734694,0.5503754224053503,1.267646074295044,0.018082141876220703,1011206.0
DistilBERT,Tweet Irony,123,0.5,0.6645408163265306,0.6526596488390937,27.70349407196045,0.5019965171813965,66955010.0
RoBERTa,Tweet Irony,123,0.5,0.7142857142857143,0.7138667483495069,54.2552433013916,0.8736355304718018,124647170.0
TF-IDF + LogReg,Tweet Irony,456,0.5,0.6326530612244898,0.6209075707003888,0.5676136016845703,0.0003070831298828125,
TF-IDF + SVM,Tweet Irony,456,0.5,0.6364795918367347,0.6239694247964094,0.3306005001068115,0.00026535987854003906,
TextCNN,Tweet Irony,456,0.5,0.5178571428571429,0.5164694595458906,0.9480571746826172,0.01829838752746582,1008006.0
DistilBERT,Tweet Irony,456,0.5,0.6568877551020408,0.6490722452314353,27.742045164108276,0.4969766139984131,66955010.0
RoBERTa,Tweet Irony,456,0.5,0.6900510204081632,0.690026309495336,53.938430070877075,0.8745465278625488,124647170.0
TF-IDF + LogReg,Tweet Irony,42,0.25,0.5790816326530612,0.5734606532620237,0.41884541511535645,0.00026679039001464844,
TF-IDF + SVM,Tweet Irony,42,0.25,0.5969387755102041,0.5851796286870095,0.25275659561157227,0.00022101402282714844,
TextCNN,Tweet Irony,42,0.25,0.48596938775510207,0.4855266093169654,0.813819408416748,0.01745128631591797,646150.0
DistilBERT,Tweet Irony,42,0.25,0.6122448979591837,0.5916666666666667,17.26095414161682,0.5093343257904053,66955010.0
RoBERTa,Tweet Irony,42,0.25,0.5102040816326531,0.5055577453685456,34.9154007434845,0.8723776340484619,124647170.0
